order_id,product_id,quantity,unit_price,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,avg_order_value
1961864118,642612,3,517.03,Pet Treats,Pet Care,Pillay-Ahuja,517.03,795.43,35.0,365,16,57,30065862,2024-07-17 08:34:01,2024-07-17 08:52:01,2024-07-17 08:47:01,On Time,1551.09,Cash,63230,4771,Urishilla Hegde,ydeo@example.org,910400446367,"H.No. 330 Rana Path, Sagar 712033",Allahabad,911359,2024-09-02,Regular,13,749.95
1549769649,378676,1,881.42,Orange Juice,Cold Drinks & Juices,Baral-Kamdar,881.42,1259.17,30.0,180,19,65,9573071,2024-05-28 13:14:29,2024-05-28 13:25:29,2024-05-28 13:27:29,On Time,881.42,Cash,14983,7534,Ranveer Mahal,phegde@example.org,912292591574,"49, Sarkar Zila, Navi Mumbai-077374",Thrissur,856100,2023-11-07,New,5,958.06
9185164487,741341,2,923.84,Eggs,Dairy & Breakfast,Prasad LLC,923.84,1154.8,20.0,7,13,62,45477575,2024-09-23 13:07:12,2024-09-23 13:25:12,2024-09-23 13:29:12,On Time,1847.68,UPI,39859,9886,Aarna Bawa,kondajagdish@example.com,912719661653,"14/351, Agarwal Path Medininagar 636193",Vellore,117423,2024-01-05,Inactive,4,327.93
9644738826,561860,1,874.78,Orange Juice,Cold Drinks & Juices,Gupta Ltd,874.78,1249.69,30.0,180,21,90,88067569,2023-11-24 16:16:56,2023-11-24 16:34:56,2023-11-24 16:33:56,On Time,874.78,Card,61497,7917,Aayush Sengupta,lekha10@example.com,913367647372,"20/47 Ratta Chowk, Sonipat-022522",Gaya,288459,2023-12-25,Premium,5,273.38
5427684290,602241,2,976.55,Nuts,Snacks & Munchies,Bahl-Pau,976.55,1502.38,35.0,90,12,75,83298567,2023-11-20 05:00:39,2023-11-20 05:17:39,2023-11-20 05:18:39,On Time,1953.1,Cash,84315,2741,Vansha Kuruvilla,xalak62@example.com,912910638833,"H.No. 68, Gaba Road Khandwa 040880",Asansol,149383,2024-10-02,Premium,14,763.1
3265154092,681063,1,321.28,Mango Drink,Cold Drinks & Juices,Dass and Sons,321.28,458.97,30.0,180,20,91,43367112,2023-03-18 16:29:51,2023-03-18 16:49:51,2023-03-18 16:48:51,On Time,321.28,UPI,554,3442,Chasmum Ramesh,jom@example.com,913254450285,"H.No. 620 Krishnamurthy Nagar, Pudukkottai-019414",Gopalpur,276624,2023-12-14,New,19,1861.66
4898355547,56589,3,517.77,Vitamins,Pharmacy,"Pai, Kashyap and Ramachandran",517.77,647.21,20.0,365,16,85,13284996,2023-04-16 18:50:37,2023-04-16 19:01:37,2023-04-16 19:02:37,On Time,1553.31,Card,14630,1318,Irya Dayal,shamanbir@example.org,914376337070,"H.No. 614, Sehgal Path Akola-450080",Phagwara,363237,2024-04-11,Regular,9,449.79
6568151549,500739,2,359.98,Bread,Dairy & Breakfast,Aggarwal Group,359.98,449.98,20.0,7,18,81,88866835,2024-03-31 06:26:48,2024-03-31 06:37:48,2024-03-31 06:39:48,On Time,719.96,Cash,67714,115,Osha Dora,ebatta@example.net,913251161123,"H.No. 022, Bava Street, Srikakulam-979419",South Dumdum,65460,2023-11-01,Premium,6,506.63
6006693867,490939,1,80.25,Lotion,Personal Care,"Roy, Barad and De",80.25,123.46,35.0,365,12,67,24496983,2023-07-13 23:49:36,2023-07-14 00:02:36,2023-07-14 00:05:36,On Time,80.25,Card,91362,9021,Vasana Sen,hseshadri@example.org,913695033990,"H.No. 687, Seshadri Street Ajmer-267864",Kamarhati,185526,2023-12-04,Regular,17,1262.44
374186990,760828,2,563.45,Pet Treats,Pet Care,"Khurana, Khosla and Yohannan",563.45,866.85,35.0,365,23,93,52215833,2023-08-09 01:17:30,2023-08-09 01:37:30,2023-08-09 01:44:30,Slightly Delayed,1126.9,Wallet,77203,7955,Lipika Parmer,gavinprabhakar@example.net,910213519763,"00/455, Chakraborty Road, Jammu 801712",Sirsa,414814,2024-09-27,Regular,5,305.65
